flat_type,flat_model,town,Sum of resale_price
2 ROOM,2-room,SENGKANG,454000
2 ROOM,Improved,GEYLANG,400000
2 ROOM,Model A,BUKIT MERAH,810000
2 ROOM,Model A,BUKIT PANJANG,931600
2 ROOM,Model A,CHOA CHU KANG,1294000
2 ROOM,Model A,CLEMENTI,636000
2 ROOM,Model A,JURONG EAST,536000
2 ROOM,Model A,JURONG WEST,440000
2 ROOM,Model A,PUNGGOL,970000
2 ROOM,Model A,SEMBAWANG,820000
2 ROOM,Model A,SENGKANG,464000
2 ROOM,Model A,TAMPINES,564000
2 ROOM,Model A,WOODLANDS,420000
2 ROOM,Standard,BUKIT MERAH,800000
2 ROOM,Standard,GEYLANG,370000
2 ROOM,Standard,TOA PAYOH,1006000
3 ROOM,DBSS,HOUGANG,940000
3 ROOM,Improved,BEDOK,3231000
3 ROOM,Improved,BUKIT MERAH,2372000
3 ROOM,Improved,BUKIT TIMAH,961776
3 ROOM,Improved,CENTRAL AREA,1568000
3 ROOM,Improved,GEYLANG,2360000
3 ROOM,Improved,JURONG EAST,440000
3 ROOM,Improved,KALLANG/WHAMPOA,4110000
3 ROOM,Improved,MARINE PARADE,2556000
3 ROOM,Improved,QUEENSTOWN,5131352
3 ROOM,Improved,SERANGOON,1246000
3 ROOM,Improved,TOA PAYOH,1286000
3 ROOM,Improved,WOODLANDS,862000
3 ROOM,Model A,BUKIT MERAH,6110000
3 ROOM,Model A,BUKIT PANJANG,2914000
3 ROOM,Model A,CENTRAL AREA,1486000
3 ROOM,Model A,CHOA CHU KANG,1110000
3 ROOM,Model A,GEYLANG,676000
3 ROOM,Model A,HOUGANG,1150000
3 ROOM,Model A,KALLANG/WHAMPOA,1000000
3 ROOM,Model A,PASIR RIS,760000
3 ROOM,Model A,PUNGGOL,2622000
3 ROOM,Model A,QUEENSTOWN,1000000
3 ROOM,Model A,SENGKANG,2695552
3 ROOM,Model A,TAMPINES,2976000
3 ROOM,Model A,TOA PAYOH,1536000
3 ROOM,Model A,WOODLANDS,970000
3 ROOM,Model A,YISHUN,1808000
3 ROOM,New Generation,ANG MO KIO,3617200
3 ROOM,New Generation,BEDOK,9338000
3 ROOM,New Generation,BISHAN,746000
3 ROOM,New Generation,BUKIT MERAH,1510000
3 ROOM,New Generation,CENTRAL AREA,720000
3 ROOM,New Generation,CLEMENTI,3569776
3 ROOM,New Generation,HOUGANG,966000
3 ROOM,New Generation,JURONG EAST,540000
3 ROOM,New Generation,KALLANG/WHAMPOA,1504000
3 ROOM,New Generation,TAMPINES,606000
3 ROOM,New Generation,WOODLANDS,530000
3 ROOM,New Generation,YISHUN,510000
3 ROOM,Premium Apartment,HOUGANG,742000
3 ROOM,Premium Apartment,SENGKANG,1466000
3 ROOM,Premium Apartment,WOODLANDS,640000
3 ROOM,Premium Apartment,YISHUN,700000
3 ROOM,Simplified,GEYLANG,660000
3 ROOM,Simplified,HOUGANG,530000
3 ROOM,Simplified,KALLANG/WHAMPOA,710000
3 ROOM,Simplified,TAMPINES,540000
3 ROOM,Simplified,YISHUN,496000
3 ROOM,Standard,BUKIT MERAH,4692000
3 ROOM,Standard,GEYLANG,1762000
3 ROOM,Standard,KALLANG/WHAMPOA,430000
3 ROOM,Terrace,KALLANG/WHAMPOA,1440000
4 ROOM,DBSS,BEDOK,3976000
4 ROOM,DBSS,BISHAN,1777776
4 ROOM,DBSS,HOUGANG,1400000
4 ROOM,DBSS,TOA PAYOH,1676000
4 ROOM,Improved,BEDOK,1336000
4 ROOM,Improved,KALLANG/WHAMPOA,1686000
4 ROOM,Improved,QUEENSTOWN,800000
4 ROOM,Model A,BEDOK,1960000
4 ROOM,Model A,BISHAN,3110000
4 ROOM,Model A,BUKIT MERAH,13606776
4 ROOM,Model A,BUKIT PANJANG,8982776
4 ROOM,Model A,BUKIT TIMAH,1236000
4 ROOM,Model A,CENTRAL AREA,930000
4 ROOM,Model A,CHOA CHU KANG,3912000
4 ROOM,Model A,CLEMENTI,2506000
4 ROOM,Model A,GEYLANG,4598000
4 ROOM,Model A,HOUGANG,8145776
4 ROOM,Model A,JURONG EAST,2640000
4 ROOM,Model A,KALLANG/WHAMPOA,9099000
4 ROOM,Model A,PASIR RIS,3300000
4 ROOM,Model A,QUEENSTOWN,4516400
4 ROOM,Model A,SEMBAWANG,4255776
4 ROOM,Model A,SENGKANG,4220000
4 ROOM,Model A,TAMPINES,1786000
4 ROOM,Model A,TOA PAYOH,1940000
4 ROOM,Model A2,BUKIT PANJANG,650000
4 ROOM,Model A2,WOODLANDS,630000
4 ROOM,New Generation,BEDOK,2349000
4 ROOM,New Generation,BUKIT MERAH,1212000
4 ROOM,New Generation,CHOA CHU KANG,630000
4 ROOM,New Generation,CLEMENTI,816000
4 ROOM,New Generation,GEYLANG,920000
4 ROOM,Premium Apartment,BEDOK,2117600
4 ROOM,Premium Apartment,CHOA CHU KANG,650000
4 ROOM,Premium Apartment,HOUGANG,1040000
4 ROOM,Premium Apartment,SENGKANG,3519776
4 ROOM,Simplified,BISHAN,3524000
4 ROOM,Simplified,BUKIT PANJANG,1232000
4 ROOM,Simplified,GEYLANG,780000
4 ROOM,Type S1,CENTRAL AREA,1916000
5 ROOM,Adjoined flat,QUEENSTOWN,1604000
5 ROOM,DBSS,TAMPINES,1560000
5 ROOM,Improved,BEDOK,3520000
5 ROOM,Improved,BISHAN,8184000
5 ROOM,Improved,BUKIT PANJANG,1940000
5 ROOM,Improved,CHOA CHU KANG,10403776
5 ROOM,Improved,CLEMENTI,3150000
5 ROOM,Improved,GEYLANG,2580176
5 ROOM,Improved,JURONG EAST,940000
5 ROOM,Improved,KALLANG/WHAMPOA,3980000
5 ROOM,Improved,PASIR RIS,1820000
5 ROOM,Improved,QUEENSTOWN,8806000
5 ROOM,Improved,SEMBAWANG,790000
5 ROOM,Improved,TAMPINES,1000000
5 ROOM,Improved,TOA PAYOH,2116000
5 ROOM,Model A,BEDOK,1530000
5 ROOM,Model A,CHOA CHU KANG,2959600
5 ROOM,Model A,JURONG EAST,916000
5 ROOM,Model A,KALLANG/WHAMPOA,1330000
5 ROOM,Premium Apartment,BEDOK,1300000
5 ROOM,Premium Apartment,BUKIT PANJANG,1080000
5 ROOM,Standard,BEDOK,1276000
5 ROOM,Standard,BUKIT TIMAH,1700000
5 ROOM,Standard,GEYLANG,840000
5 ROOM,Standard,JURONG EAST,820000
5 ROOM,Standard,KALLANG/WHAMPOA,964000
5 ROOM,Standard,QUEENSTOWN,1380000
EXECUTIVE,Apartment,BISHAN,1560000
EXECUTIVE,Apartment,JURONG EAST,1640000
EXECUTIVE,Apartment,KALLANG/WHAMPOA,1680000
EXECUTIVE,Apartment,YISHUN,1330000
EXECUTIVE,Maisonette,BISHAN,1880000
EXECUTIVE,Maisonette,GEYLANG,1636000
EXECUTIVE,Maisonette,HOUGANG,1380000
EXECUTIVE,Maisonette,JURONG WEST,1040000
EXECUTIVE,Maisonette,KALLANG/WHAMPOA,1476000
EXECUTIVE,Premium Apartment,BUKIT PANJANG,1150000
