,,,,,,,,,,,
,No,,,Requirement,Rubric Description,Instructions,,Rubrics are evaluated based on quality or % of completion.,,,
,1,PENALTY,this column will be hidden eventually,Critical,This rubric is critical to complete. Heavy Penalty.,"Fill in all completed rubrics with ""Explanation"" to help Instructors validate a rubric.",,Waived,The rubric is waived with the Instructors' verification.,,
,2,PENALTY,,Required,This rubric is required to complete. Medium Penalty.,"No rubric should be left ""Untested"" status. Provide explanation for the completion of each rubric.",,Missing,0 - <30% completion or poor quality work,,
,3,PENALTY,,Basic,This rubric is a basic feature. Light Penalty.,"Any missing or incompleted Critical, Required, or Basic rubric results in a penalty.",,Minimal,30 - <50% completion or subpar quality work,,
,4,BONUS,,Advanced,This rubric is an advanced feature.,"If your team did not do the Advanced, Exceptional, or Extra Rubric, please mark as ""Missing"".",,Average,50 - <70% completion or average quality work,,
,5,BONUS,,Exceptional,This rubric is an exceptional feature.,Please note that you must approach the Instructors to WAIVE the rubrics prior to the submission deadline.,,Above Average,70 - <90% completion or above average quality work,,
,6,BONUS,,Extra,Pre-req Rubric must be completed to get this Bonus.,Students are advised to complete the rubrics according to the recommend priority.,,Completed,>=90% completion or well-thought quality work,,
,,,,,,,,,,,
,,,,JUMP TO:,DESIGN,ART,ARTBFA,TEAM,LIST OF LIBRARIES,,
,,,,,,,,,,,
,,,,,,,Some rubrics are untested! Penalty!,,,,
,ARCHITECTURE,,,,,COMPULSORY RUBRICS FOR EVERY TEAM,,85,107,,
,No,Category,Sub-category,Requirement,Rubric description,Teacher description,Provide explanation,Student Input,Teacher Input,Teacher Comments,
,1101,TECH,Architecture,Critical,Window application,"A Window application can be launched using GLFW library or built from scratch using ""main/WinMain"".",Junrong,Untested,Untested,,
,1102,TECH,Architecture,Required,Game loop with FPS,The application has a basic Game Engine structure with a game loop and FPS control.,Junrong,Untested,Untested,,
,1103,TECH,Architecture,Required,Input system: Keyboard and Mouse,"The game engine has an input system that supports Keyboard and mouse.
Using the GLFW library or built from scratch using Windows APIs.",Junrong,Untested,Untested,,
,1104,TECH,Architecture,Required,Game objects clones,"Can create multiple instances of the same game object type. 
This must be proven by displaying at least 3 similar game objects at different locations on the screen. A ""Clone"" function is good to have.",Farhan,Untested,Untested,,
,1105,TECH,Architecture,Required,Game objects are data-driven using game objects factory,"Data-driven at this stage can only be the ""load from a data file"" part without the ""save to a data file"" part. This means De-Serialized (also means ""Data loading"").
You must load the Game Object's properties from data files. For example, if you have a player game object, its properties like ""position x and y coords"", and ""velocity x and y coords"" must be read from a file at load time.
The ""levels manager"" is responsible for the creation/destruction of your game objects, using ""objects factory"".
Examples of data file formats that you can use are: .xml, .json, .txt.",Farhan,Untested,Untested,,
,1106,TECH,Architecture,Basic,Configuration and tweaking data is data-driven,"Data-driven at this stage can be loading the game configuration from a file (without the saving to a file option). This means De-Serialized (also means ""Data loading""). 
Configuration and tweaking data means that you can load general game application information (e.g. window resolution ""width"" and ""height""). 
This file can be named ""config.txt"" or ""config.xml"" or any other readable format.",Junrong,Untested,Untested,,
,1107,TECH,Architecture,Basic,Using generic container solution (such as STL),"We encourage the usage of STL containers. 
Under ""Provide explanation"", list at least 2 code files where you are using STL containers.",Everyone,Untested,Untested,,
,1108,TECH,Architecture,Basic,Custom math library built,"The team must write their own custom math library. 
e.g. Vector2D, Matrix3x3 or Vector3D, Matrix4x4.
Note: GLM library can only be used under the ""Graphics"" system code files!",Poh heng,Untested,Untested,,
,1109,TECH,Architecture,Advanced,Prefabs for game objects,"Prefabs (or Archetypes). A programmer can create/ clone a game object instance, or entity, from a master object copy, known as a prototype or prefab or archetype. 
A prefab/archetype must be loaded ""De-Serialized"" from a data file, at level's load time.
Explain usage under ""Provide explanation"".",,Untested,Untested,,
,1110,TECH,Architecture,Advanced,"Basic messaging system (function pointers, etc.)","Refer to the lecture notes. Explain the location/usage in your code under ""Provide explanation"".",,Untested,Untested,,
,1111,TECH,Architecture,Advanced,Early Audio System Integration,"The audio system is integrated. At least must play/stop 2 audio files. Can use the ""fmod"" library or a similar library. 
This must be proven by playing some audio files. Explain the usage under ""Provide explanation"".
Do not waste your time on this, if your core gameplay mechanics are not related to audio feedback, and if you didn't clear all your essential penalty rubrics first!",Farhan,Untested,Untested,,
,1112,TECH,Architecture,Advanced,Assets Manager integrated,"A proper assets manager is implemented to arrange all loaded assets.
An assets manager is a class that holds all your assets containers. Assets are textures, audio files, prefabs, fonts... 
You can use some helper APIs like standard ""std::filesystem"".",,Untested,Untested,,
,1113,TECH,Architecture,Advanced,"One advanced architecture feature of your choice. Explain it under ""Provide explanation"". 
Think of adding only a very unique feature your game engine has! And is not mentioned in the current list.",Simple features are not considered advanced!,,Untested,Untested,,
,1114,TECH,Architecture,Exceptional,"Scripting language integration (e.g. LUA, C#…)","A scripting language added, mainly, for designers, and non-core (c++) programmers. Enables them to write logic/behaviour for game objects and levels. The aim is to separate the logic from the game engine so that after writing a script, no compilation is needed.
Explain you integration under ""Provide explanation"".",Farhan,Untested,Untested,,
,1115,TECH,Architecture,Exceptional,"Architecture is traditional component based or entity-component based ""ECS"".","Can be a normal Component-Based System, as explained in class, or an ECS system and/or variations of that architecture.
Specify the usage and file location under ""Provide explanation"".",Everyone,Untested,Untested,,
,,,,,,,,,,,
,GRAPHICS AND ART PIPELINE,,,,,COMPULSORY RUBRICS FOR EVERY TEAM,,,,BACK TO TOP,
